"Countries" "Y1970" "Y1971" "Y1972" "Y1973" "Y1974" "Y1975" "Y1976" "Y1977" "Y1978" "Y1979" "Y1980" "Y1981" "Y1982" "Y1983" "Y1984" "Y1985" "Y1986" "Y1987" "Y1988" "Y1989" "Y1990" "Y1991" "Y1992" "Y1993" "Y1994" "Y1995" "Y1996" "Y1997" "Y1998" "Y1999" "Y2000" "Y2001" "Y2002" "Y2003"
"48" "Gabon" 14431.803 14892.862 17457.729 18706.955 21120.666 20538.318 28766.368 21743.169 15000.483 14598.162 15745.308 14105.597 14269.256 14025.982 14144.61 14011.696 13180.741 12668.534 12383.612 12309.795 13046.281 13201.878 12871.216 12960.68 13640.46 13470.132 13291.737 12621.984 12316.629 11116.753 10438.827 9984.5421 9650.084 9561.5905
"49" "Gambia..The" 923.17648 899.03559 874.12972 922.73025 943.54274 1014.4431 995.31441 1011.8065 935.08514 872.75686 887.84251 894.15694 974.15404 964.23392 928.08866 904.08156 934.6567 913.98891 918.56241 919.36197 912.50964 890.31984 889.91087 871.68468 829.51896 772.74341 787.35711 787.60376 834.13323 925.46989 953.85879 963.23571 890.63973 937.35529
"50" "Germany" 13545.791 13967.369 14508.89 15090.267 14996.971 14887.68 15626.918 16114.4 16625.095 17366.302 17553.426 17466.278 17298.532 17657.992 18094.585 18400.923 18883.527 19128.12 19736.557 20342.225 21278.596 22129.129 22482.165 22164.459 22625.8 22945.912 23071.697 23423.661 23865.473 24317.213 25061.34 25319.459 25257.93 25188.583
"51" "Ghana" 1041.4344 1129.4623 1431.9413 1296.195 1239.4119 1078.126 1064.8462 957.55612 1181.2273 1190.3562 1139.6273 1129.9549 1181.1526 1042.0009 1079.1728 1014.2181 1093.7501 1091.4252 1136.0617 1151.5915 1153.1698 1155.5649 1195.3937 1194.3276 1166.8875 1224.1561 1224.667 1127.3309 1205.2411 1220.7584 1392.2007 1372.6069 1449.2765 1440.3431
"52" "Greece" 8239.793 8842.9587 9697.4524 10434.823 9692.804 10216.368 10792.38 10969.013 11600.514 11823.666 11771.317 11479.419 11285.14 11107.476 11272.438 11501.332 11515.041 11222.682 11678.238 12070.464 12003.672 12280.418 12252.575 11929.419 12046.752 12189.203 12383.994 12748.922 13103.871 13483.113 13982.386 14592.54 15089.199 15786.656
"53" "Grenada" 3015.476 3049.4649 3081.832 3121.6374 3181.8287 3237.4751 3278.3132 3346.9825 3567.2116 3402.8937 3539.526 3326.0678 3547.6007 3706.6973 4052.0052 4360.1566 4466.3279 3660.1833 3822.753 3976.5934 4202.6869 4318.4543 4528.6837 4456.1725 4483.2219 4692.1458 4796.3681 5011.1726 5410.163 5566.1615 5896.2402 5961.6234 6099.7162 6140.708
"54" "Guatemala" 3151.9313 3184.2481 3406.2347 3484.9187 3513.1626 3551.9066 3565.7228 3707.0346 3764.0913 3930.5574 4067.2097 3958.7567 3810.1869 3703.7709 3604.0944 3531.6222 3478.3926 3404.5458 3445.0462 3477.9792 3500.2011 3491.9325 3447.153 3508.5941 3546.325 3607.8727 3663.5907 3654.1467 3743.0918 3823.7927 3859.4668 3828.8216 3782.9246 3804.811
"55" "Guinea" 2319.1044 2373.7141 2335.2193 2310.4948 2379.5445 2398.3588 2560.1323 2434.2263 2516.407 2463.246 2545.5439 2464.1007 2474.1737 2297.4519 2163.1864 2107.2652 2146.4112 2146.2506 2252.8383 2233.2266 2196.4863 2157.7095 2188.2422 2206.9299 2129.685 2261.173 2322.9756 2392.0898 2542.7525 2553.3347 2546.1218 2720.6162 2853.0241 2887.8131
"56" "Guinea.Bissau" 690.05514 678.39553 625.48938 632.42554 663.82125 761.46375 719.13516 705.92882 651.19945 655.59677 505.37273 635.69626 631.352 632.26903 654.81644 628.93834 634.56414 619.7777 603.58669 639.03891 641.84093 643.86075 454.25304 541.02775 623.23373 631.5312 666.97409 671.31666 492.03335 543.13531 762.40116 576.66843 548.08614 582.7542
"57" "Honduras" 1847.7668 1999.3443 2074.6674 2077.1733 1861.0347 1959.7414 2097.8431 2135.8279 2250.1473 2336.4587 2303.3103 2404.6596 2445.5394 2344.717 2298.2447 2349.9875 2341.4595 2383.8716 2380.8717 2445.0572 2365.7453 2305.1646 2362.0303 2330.2759 2168.6884 2213.8857 2283.8666 2332.2358 2332.874 2163.7844 2239.6555 2258.0457 2294.0243 2291.6748
