"NUTS_ID" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15"
"67" "DEA5" 20285.6609725253 20887.3797628663 21555.3927976033 22342.0135590736 23258.6926819979 24246.1586316453 25203.7490441652 26039.4161746437 26692.5124311005 27256.0836336122 27952.3736132794 28722.6528198248 29467.8119248463 30181.1171487699 30908.9848040461
"68" "ES22" 23905.2780268698 24993.6384256728 26097.1543401767 27215.9991379745 28398.8014922313 29595.6302140359 30660.7458757204 31369.1082153711 31581.9576309588 31389.4772059952 31060.7368030384 30738.4899316874 30491.772213055 30367.4608791841 30333.7496080285
"69" "UKH2" 27198.3165730324 28169.9375306379 29141.8278365583 30071.0668342062 30908.0414131451 31527.7677694654 31771.9754731544 31605.9512510848 31063.4657544246 30273.3374341683 29578.2302206024 29197.0740545466 29208.2820415242 29514.7354383309 29969.9903751186
"70" "UKK1" 24774.4977115753 25946.8762344556 27075.3351234839 28108.4545472952 29014.7610547671 29697.4284672099 30105.2688371715 30219.5056624458 30020.5194268795 29677.5697083279 29420.6329763456 29323.2745471546 29455.7584607617 29772.6248296292 30187.4924124971
"71" "DK03" 23048.0148237562 23495.9538611936 23952.2105268299 24409.7498310733 24949.1831000389 25569.5616868704 26278.067648705 26926.7531727807 27419.1796225429 27814.6278537918 28313.309982721 28889.0976689172 29497.7329747318 30112.7023354895 30723.854910558
"72" "UKJ3" 24499.0233263256 25487.825508726 26412.7839589144 27228.0028632824 27997.5409747955 28652.976588294 29110.2814426507 29276.9510226117 29138.8357820988 28877.4740114158 28764.190275731 28881.9132983859 29239.3013586051 29735.9066078716 30296.9929802915
"73" "DK04" 24031.89849722 24492.4505722434 24947.8988877117 25394.3475925105 25932.237013492 26566.9118627064 27282.5589300453 27908.6591073673 28357.4838577235 28667.9191869867 29013.6536837934 29429.5088668627 29852.1216655064 30261.4075903386 30660.942685492
"74" "DE94" 20314.6017862779 20734.0490865201 21199.1601009577 21798.1506899432 22571.3710976757 23463.4674579632 24407.6665289858 25295.0402756495 26047.4340182225 26715.4866328691 27486.2475528379 28288.2883501186 29036.3809882469 29727.1712947392 30415.4841389927
"75" "NL22" 22856.4457189506 23375.3171145473 23917.1571951118 24540.8839072846 25350.6700464881 26332.1469829791 27366.8388795765 28235.1263818225 28770.6959145269 29009.6136814081 29168.6345398601 29334.9751582516 29488.8706785738 29668.9602174974 29883.6635831216
"76" "NL42" 22298.9485986708 22877.5794322077 23488.3784899573 24167.1012869789 24999.3627799389 25932.0417195869 26864.1188118823 27609.4480876505 28003.6245678159 28136.7315792788 28290.2725180888 28531.873727611 28834.7179483163 29214.8881242578 29650.912327758
"77" "DE72" 20897.1040341831 21609.4151863152 22354.189692978 23178.3844788918 24088.2861179005 25013.639667225 25854.0644052225 26506.9972634939 26893.2248688047 27108.4142857613 27441.3165999614 27891.3366112808 28403.2684636016 28971.2924430009 29589.0658813794
"78" "DEA3" 19806.5473482688 20469.1659738754 21178.7370237589 22003.1463663763 22965.6819463832 23993.1282898147 24985.7608112849 25828.9543990374 26442.3622115103 26901.0047032957 27433.1243751438 28010.8029752779 28584.822351898 29152.2358771597 29744.525346915
"79" "ITH3" 26683.1905689629 26889.3114350497 27098.1218101024 27410.021373479 27845.7103149212 28376.2854044139 28917.5297615547 29325.020841235 29483.5313364974 29481.8306057869 29523.3229937091 29606.3199479433 29661.4012371757 29682.1354384214 29716.2669307476
"80" "PL12" 13755.5698963934 14363.6062305792 15026.751381342 15805.9371683663 16757.8151903216 17874.0870989391 19121.2041154982 20453.7635254484 21806.9699557592 23235.4258693285 24744.6185361328 26222.3670870558 27597.3516872002 28858.6737677396 30075.8584898957
"81" "BE23" 21135.1313605683 21833.3008647979 22536.5693513366 23208.5476641257 23870.3555508929 24525.7451331055 25167.2116440881 25751.1310958684 26239.1256374201 26728.6364423776 27326.8445823885 27976.3492983198 28615.4546978563 29218.2490009516 29804.3476759026
"82" "ES51" 23034.5828729163 24090.6038820441 25125.0916315053 26134.0162405062 27173.3331672123 28213.5552713081 29133.4621057241 29713.6643799816 29825.4188666858 29593.7960376452 29283.7993459983 29033.4248788604 28919.2608279872 28948.5474045165 29077.4430871085
"83" "AT21" 20802.6025772195 21439.9447889411 22156.8705883075 22946.5723967331 23793.1433415029 24641.2249664249 25436.5558806664 26086.2786987666 26539.6870943585 26908.270149272 27409.1670102398 28034.1936001113 28677.6991200971 29276.5617953905 29851.2279919689
"84" "HU10" 16778.754190433 18405.51850441 19939.6821479178 21303.7614897813 22557.923755159 23729.734330844 24789.4908028042 25670.7332640723 26340.6832792324 26835.2450906171 27279.8136158816 27714.1445581827 28181.2234421357 28705.7726630472 29267.5188654816
